% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 30.83 us, time offset -9.549 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 10:11:57 -0400
% Time (s), Channel A (Input 1) (V)
-5.840000000000e-06, -4.657701e-02
-5.808000000000e-06, -4.681648e-02
-5.776000000000e-06, -4.621780e-02
-5.744000000000e-06, -4.621780e-02
-5.712000000000e-06, -4.597833e-02
-5.680000000000e-06, -4.669674e-02
-5.648000000000e-06, -4.669674e-02
-5.616000000000e-06, -4.633754e-02
-5.584000000000e-06, -4.609807e-02
-5.552000000000e-06, -4.657701e-02
-5.520000000000e-06, -4.693621e-02
-5.488000000000e-06, -4.609807e-02
-5.456000000000e-06, -4.693621e-02
-5.424000000000e-06, -4.693621e-02
-5.392000000000e-06, -4.693621e-02
-5.360000000000e-06, -4.669674e-02
-5.328000000000e-06, -4.657701e-02
-5.296000000000e-06, -4.621780e-02
-5.264000000000e-06, -4.693621e-02
-5.232000000000e-06, -4.669674e-02
-5.200000000000e-06, -4.741516e-02
-5.168000000000e-06, -4.621780e-02
-5.136000000000e-06, -4.633754e-02
-5.104000000000e-06, -4.621780e-02
-5.072000000000e-06, -4.621780e-02
-5.040000000000e-06, -4.645727e-02
-5.008000000000e-06, -4.669674e-02
-4.976000000000e-06, -4.633754e-02
-4.944000000000e-06, -4.729542e-02
-4.912000000000e-06, -4.681648e-02
-4.880000000000e-06, -4.657701e-02
-4.848000000000e-06, -4.657701e-02
-4.816000000000e-06, -4.657701e-02
-4.784000000000e-06, -4.585860e-02
-4.752000000000e-06, -4.633754e-02
-4.720000000000e-06, -4.609807e-02
-4.688000000000e-06, -4.705595e-02
-4.656000000000e-06, -4.645727e-02
-4.624000000000e-06, -4.669674e-02
-4.592000000000e-06, -4.693621e-02
-4.560000000000e-06, -4.621780e-02
-4.528000000000e-06, -4.597833e-02
-4.496000000000e-06, -4.490072e-02
-4.464000000000e-06, -4.502045e-02
-4.432000000000e-06, -4.621780e-02
-4.400000000000e-06, -4.657701e-02
-4.368000000000e-06, -4.669674e-02
-4.336000000000e-06, -4.561913e-02
-4.304000000000e-06, -4.621780e-02
-4.272000000000e-06, -4.633754e-02
-4.240000000000e-06, -4.717568e-02
-4.208000000000e-06, -4.693621e-02
-4.176000000000e-06, -4.669674e-02
-4.144000000000e-06, -4.633754e-02
-4.112000000000e-06, -4.633754e-02
-4.080000000000e-06, -4.717568e-02
-4.048000000000e-06, -4.645727e-02
-4.016000000000e-06, -4.549939e-02
-3.984000000000e-06, -4.645727e-02
-3.952000000000e-06, -4.693621e-02
-3.920000000000e-06, -4.549939e-02
-3.888000000000e-06, -4.717568e-02
-3.856000000000e-06, -4.681648e-02
-3.824000000000e-06, -4.693621e-02
-3.792000000000e-06, -4.717568e-02
-3.760000000000e-06, -4.657701e-02
-3.728000000000e-06, -4.693621e-02
-3.696000000000e-06, -4.597833e-02
-3.664000000000e-06, -4.609807e-02
-3.632000000000e-06, -4.585860e-02
-3.600000000000e-06, -4.609807e-02
-3.568000000000e-06, -4.633754e-02
-3.536000000000e-06, -4.681648e-02
-3.504000000000e-06, -4.669674e-02
-3.472000000000e-06, -4.657701e-02
-3.440000000000e-06, -4.633754e-02
-3.408000000000e-06, -4.657701e-02
-3.376000000000e-06, -4.705595e-02
-3.344000000000e-06, -4.717568e-02
-3.312000000000e-06, -4.741516e-02
-3.280000000000e-06, -4.645727e-02
-3.248000000000e-06, -4.633754e-02
-3.216000000000e-06, -4.717568e-02
-3.184000000000e-06, -4.561913e-02
-3.152000000000e-06, -4.669674e-02
